member,dt,model,order,med_raw,mean_raw,med_flo,mean_flo
DEC-loRe,5em3,zero,N3dot,24.758183518373993,22.52751831288014,24.758183518373993,22.52751831288014
FRC-256,1em2,best,Ndot,0.16137862517716056,0.16427555114228123,0.15936307970401298,0.16231338504128756
FRC-256,1em2,best,Nddot,0.10140568322450277,0.10080937834514357,0.10140568322450277,0.09883213463531297
FRC-256,1em2,best,N3dot,0.6070275480448959,0.6037954096563941,0.6070275480448959,0.5885391246117105
FRC-256,1em2,zero,Ndot,0.19599210278308304,0.19385415505375325,0.19599210278308304,0.1926879599463263
FRC-256,1em2,zero,Nddot,0.2632374643349967,0.2640623582204394,0.2632374643349967,0.2589317178812323
FRC-256,1em2,zero,N3dot,0.3184958236122098,0.32598556947072316,0.3184340570776988,0.31560873030679476
FRC-256,1p5em2,best,Ndot,0.12234013820853033,0.12638052975360384,0.12234013820853033,0.12445958928456842
FRC-256,1p5em2,best,Nddot,0.11675569984852996,0.11866851700327996,0.11675569984852996,0.11669824570817566
FRC-256,1p5em2,best,N3dot,0.5968426176630284,0.5928435626426877,0.5968426176630284,0.5778745695838862
FRC-256,1p5em2,zero,Ndot,0.1965953588601886,0.19453226477504912,0.1965953588601886,0.19336610727366677
FRC-256,1p5em2,zero,Nddot,0.2898645951063658,0.2888719455450433,0.2898645951063658,0.28374381098484197
FRC-256,1p5em2,zero,N3dot,0.3948909000743547,0.3926330047866657,0.3948909000743547,0.3842144398087972
FRC-256,5em3,best,Ndot,0.8576192815782488,0.8938207926414764,0.8576192815782488,0.8875980898639385
FRC-256,5em3,best,Nddot,0.09792749448313282,0.0993018997835519,0.09792749448313282,0.09707582690952614
FRC-256,5em3,best,N3dot,0.611494638734014,0.6165376035587805,0.6012035842096526,0.585738501318324
FRC-256,5em3,zero,Ndot,0.1960465247614849,0.19390295849343653,0.1960465247614849,0.192736713273579
FRC-256,5em3,zero,Nddot,0.25899566670191376,0.26087812902234747,0.25899566670191376,0.25553693515753123
FRC-256,5em3,zero,N3dot,0.31680780519033236,0.3687446660209009,0.3120067501730479,0.3167665632359245
FRC-b05,1em2,best,Ndot,0.31893065179139285,0.3397272211060241,0.31893065179139285,0.3397272211060241
FRC-b05,1em2,best,Nddot,0.13467405310513558,0.14719468407387862,0.13467405310513558,0.14719468407387862
FRC-b05,1em2,best,N3dot,0.4741726808330292,0.7310770776694328,0.4741726808330292,0.7310770776694328
FRC-b05,1em2,zero,Ndot,0.09416760328308912,0.09133033788051206,0.09416760328308912,0.09133033788051206
FRC-b05,1em2,zero,Nddot,0.1667488201055981,0.1752562523744909,0.1667488201055981,0.1752562523744909
FRC-b05,1em2,zero,N3dot,0.3107279843146188,0.8235622505725989,0.3107279843146188,0.8235622505725989
FRC-b05,1p5em2,best,Ndot,0.19790090867221385,0.34519880351822174,0.19790090867221385,0.34519880351822174
FRC-b05,1p5em2,best,Nddot,0.19997728174922813,0.22030840904161442,0.19997728174922813,0.21580489388198437
FRC-b05,1p5em2,best,N3dot,0.7151650569222894,1.136554052247927,0.7151650569222894,0.9177493407893608
FRC-b05,1p5em2,zero,Ndot,0.10362561062533931,0.10203723342137988,0.10362561062533931,0.10203723342137988
FRC-b05,1p5em2,zero,Nddot,0.3161854099853167,0.298787198589465,0.3161854099853167,0.29353844429137355
FRC-b05,1p5em2,zero,N3dot,1.0858073890644708,1.792075129806806,1.0858073890644708,1.4026021769964248
FRC-b05,5em3,best,Ndot,2.2205078587771334,2.295566095753003,2.2205078587771334,2.295566095753003
FRC-b05,5em3,best,Nddot,0.13533285209697812,0.13780864660566333,0.13533285209697812,0.13780864660566333
FRC-b05,5em3,best,N3dot,0.47763087757832856,0.601406284409916,0.47763087757832856,0.601406284409916
FRC-b05,5em3,zero,Ndot,0.09334448150939809,0.08652412054144216,0.09334448150939809,0.08652412054144216
FRC-b05,5em3,zero,Nddot,0.14190576700203122,0.1426544855103987,0.14190576700203122,0.1426544855103987
FRC-b05,5em3,zero,N3dot,0.23122246937287438,0.5532792162176129,0.23122246937287438,0.5532792162176129
FRC-b075,1em2,best,Ndot,0.3502320690495427,0.44525306754841193,0.3502320690495427,0.44525306754841193
FRC-b075,1em2,best,Nddot,0.1535380511935702,0.19314778472364397,0.1535380511935702,0.19314778472364397
FRC-b075,1em2,best,N3dot,0.4864875423995416,1.33018477690842,0.4864875423995416,1.33018477690842
FRC-b075,1em2,zero,Ndot,0.09923333325266184,0.11206808205630889,0.09923333325266184,0.11206808205630889
FRC-b075,1em2,zero,Nddot,0.23245745528509384,0.2716176992124049,0.23245745528509384,0.2716176992124049
FRC-b075,1em2,zero,N3dot,0.42719831613592996,1.9988859390412967,0.42719831613592996,1.9988859390412967
FRC-b075,1p5em2,best,Ndot,0.24973811360141035,0.34975539633107083,0.24973811360141035,0.34975539633107083
FRC-b075,1p5em2,best,Nddot,0.3298748463845961,0.3118661046275531,0.3298748463845961,0.3118661046275531
FRC-b075,1p5em2,best,N3dot,1.0414624131204133,1.052670719048296,1.0414624131204133,1.052670719048296
FRC-b075,1p5em2,zero,Ndot,0.11554100403371977,0.1236087102258801,0.11554100403371977,0.1236087102258801
FRC-b075,1p5em2,zero,Nddot,0.43148675699377576,0.3930765849297356,0.43148675699377576,0.3930765849297356
FRC-b075,1p5em2,zero,N3dot,1.4874064516501129,1.5234134013708436,1.4874064516501129,1.5234134013708436
FRC-b075,5em3,best,Ndot,2.426471975953688,2.444047709754856,2.426471975953688,2.444047709754856
FRC-b075,5em3,best,Nddot,0.15712930574803488,0.15553185949450543,0.15712930574803488,0.15553185949450543
FRC-b075,5em3,best,N3dot,0.4920929221010532,0.5157414602805344,0.4920929221010532,0.5157414602805344
FRC-b075,5em3,zero,Ndot,0.09594652454820572,0.09463367206501251,0.09594652454820572,0.09463367206501251
FRC-b075,5em3,zero,Nddot,0.19294475997359872,0.18127137440331628,0.19294475997359872,0.18127137440331628
FRC-b075,5em3,zero,N3dot,0.3264876860954856,0.4138826408374555,0.3264876860954856,0.4138826408374555
FRC-b0,1em2,best,Ndot,1.0632304564319326,1.0475332775409534,1.0632304564319326,1.0475332775409534
FRC-b0,1em2,best,Nddot,0.27941418169878746,0.2775063206901186,0.27053937329080346,0.26881787948520564
FRC-b0,1em2,best,N3dot,0.6896144823807244,0.8087760810218128,0.6764802319377354,0.6679390311860386
FRC-b0,1em2,zero,Ndot,0.19752882644552272,0.19609596244121652,0.19752882644552272,0.19609596244121652
FRC-b0,1em2,zero,Nddot,0.40763933877937764,0.4191089286711689,0.37536029614935906,0.4074861548941829
FRC-b0,1em2,zero,N3dot,1.5229532977744291,1.383122555234024,1.2432367456479314,1.131665768122942
FRC-b0,1p5em2,best,Ndot,1.216810715375533,1.8151280883356422,1.216810715375533,1.8151280883356422
FRC-b0,1p5em2,best,Nddot,0.7374108895746196,0.8490666419624774,0.7374108895746196,0.8405639360401701
FRC-b0,1p5em2,best,N3dot,1.7041223370818424,1.6521556824181929,1.7041223370818424,1.5852269960143646
FRC-b0,1p5em2,zero,Ndot,0.297831215390686,0.30596839705844,0.297831215390686,0.30596839705844
FRC-b0,1p5em2,zero,Nddot,1.1545906154678636,1.1986588996645902,1.1545906154678636,1.188447849091811
FRC-b0,1p5em2,zero,N3dot,2.9088498859089116,2.692252755647544,2.9088498859089116,2.5917960615510083
FRC-b0,5em3,best,Ndot,6.618565296958977,5.948059210023051,6.618565296958977,5.948059210023051
FRC-b0,5em3,best,Nddot,0.26730259507548126,0.265122014472128,0.26730259507548126,0.265122014472128
FRC-b0,5em3,best,N3dot,0.5166400174569986,0.7292528009718485,0.5166400174569986,0.7292528009718485
FRC-b0,5em3,zero,Ndot,0.17871026238826715,0.17447512178582214,0.17871026238826715,0.17447512178582214
FRC-b0,5em3,zero,Nddot,0.2555538492355219,0.2535849290479103,0.2555538492355219,0.2535849290479103
FRC-b0,5em3,zero,N3dot,0.3374617703107009,0.7916095812298493,0.3374617703107009,0.7916095812298493
